temperature,vibration,current,pressure,runtime_hours,health_status,rul
56.16,3.5706,11.728,94.87,282,0,90
63.64,5.0508,16.1603,103.42,2110,1,56
62.87,2.7004,11.0953,117.22,1307,0,144
76.01,4.055,18.5384,95.09,3218,1,35
58.01,0.8148,12.8986,103.43,1835,0,130
50.98,3.0414,14.3931,110.04,259,0,120
62.62,3.4641,9.3382,108.77,1611,0,103
53.98,1.1313,12.1911,99.94,1306,0,92
83.46,7.6845,28.2746,138.85,8716,2,1
63.0,2.5409,6.3566,101.91,1759,0,108
72.03,6.2061,20.3574,103.25,3665,1,77
70.67,3.9006,12.274,97.29,438,0,106
67.21,3.1179,11.9466,98.2,84,0,134
67.33,5.2269,20.472,101.73,4452,1,41
60.48,3.0684,11.5761,106.97,1941,0,101
60.73,3.5525,14.1406,88.25,894,0,140
53.01,2.021,10.1505,94.46,0,0,122
49.87,3.0476,17.4561,101.83,1151,0,145
46.74,3.0412,14.6393,95.57,1245,0,127
46.72,4.1454,9.956,84.65,733,0,114
80.76,5.3859,22.9374,124.83,2349,1,39
62.42,1.0565,11.6613,110.44,458,0,138
75.28,5.9003,20.7777,105.72,2791,1,46
45.77,2.4058,12.1174,94.15,1629,0,91
69.01,4.1441,17.0472,131.18,4265,1,33
53.54,2.9641,18.9603,102.44,554,0,144
69.77,1.1157,11.2549,103.79,1385,0,108
63.66,1.7219,15.2884,88.11,995,0,116
72.26,6.1287,23.6737,90.73,4837,1,51
96.73,6.8396,21.8905,145.93,9028,2,2
53.24,1.7681,15.1043,111.46,836,0,99
72.58,4.9259,18.6719,108.36,3200,1,68
48.06,0.9923,8.4775,100.15,1759,0,92
71.48,5.6553,16.3731,117.82,4514,1,42
51.92,2.9517,11.9033,110.49,148,0,107
71.94,1.7059,13.5906,99.62,1997,0,92
49.63,2.3628,9.824,90.56,2002,0,134
81.96,3.339,18.5739,124.15,2990,1,50
82.46,8.6789,26.1448,165.54,6645,2,29
46.37,1.872,12.7931,111.09,50,0,127
48.56,4.7372,15.3228,90.82,1862,0,88
68.36,11.4253,24.1391,142.92,8129,2,15
56.01,2.3692,10.0314,104.92,1679,0,126
48.32,1.5176,11.7651,86.95,300,0,95
61.2,1.7866,11.7342,96.58,63,0,84
57.95,1.5857,12.1404,107.12,1549,0,134
45.81,1.3433,11.1251,92.57,189,0,116
74.47,3.2198,7.028,113.5,620,0,113
69.61,2.9931,20.6429,113.81,3954,1,58
64.02,2.3394,9.4185,108.78,467,0,85
58.59,1.9927,10.6895,108.08,1604,0,78
50.69,1.5406,12.0698,105.3,1524,0,85
62.63,1.3447,10.4328,103.06,1143,0,84
37.78,2.9426,12.129,105.59,1938,0,140
81.53,5.3336,20.4586,132.64,2923,1,53
55.67,1.5749,11.125,103.37,109,0,90
62.29,4.703,18.8927,125.66,2714,1,52
79.05,7.2243,21.1201,122.69,3976,1,80
85.21,5.6323,16.6473,113.62,2230,1,53
57.9,3.0732,13.4836,79.17,1252,0,117
50.12,1.0414,16.8631,103.98,1221,0,123
52.12,3.7607,14.703,83.77,971,0,107
55.15,2.332,13.2702,94.74,153,0,110
64.21,1.729,11.5759,106.15,1675,0,144
83.2,7.3184,18.8234,159.95,5607,2,22
44.05,3.9811,7.9784,117.08,966,0,94
59.38,3.3759,8.4685,96.96,1217,0,92
75.91,6.7564,23.6984,125.69,2399,1,37
58.14,1.8583,11.151,90.44,1272,0,140
56.51,2.3286,12.1555,83.76,1453,0,98
51.96,3.7716,13.5243,100.21,1163,0,142
72.31,6.7796,20.911,120.91,4426,1,59
69.89,4.6094,19.2681,126.0,4506,1,73
96.74,7.4712,24.6864,129.25,8656,2,6
48.14,1.0234,16.7591,95.88,1673,0,123
56.47,3.429,12.3849,99.55,1934,0,146
63.99,3.1524,10.9166,93.63,1840,0,153
58.0,2.5545,9.8996,108.86,1446,0,79
47.07,2.6225,11.5283,105.24,1025,0,143
62.16,2.0486,10.3939,102.51,1278,0,113
55.99,2.4593,14.0249,102.33,1681,0,113
85.04,8.9787,30.1523,117.07,9001,2,8
71.89,5.7836,21.3359,112.75,3526,1,48
65.18,6.4361,15.7071,120.68,4281,1,41
61.03,3.7138,8.3267,98.57,1239,0,107
61.86,7.045,20.3995,113.19,2782,1,45
58.91,3.1889,9.9584,126.98,1660,0,140
80.23,5.6158,14.6209,113.01,3275,1,69
85.82,4.7098,19.1716,115.57,2200,1,40
72.1,3.8758,22.2746,128.75,2715,1,66
98.71,9.7124,23.056,126.38,6908,2,27
83.16,10.5831,26.301,147.87,8296,2,28
71.09,5.4098,19.1468,108.07,2628,1,54
66.5,2.6386,13.8801,113.47,352,0,81
51.07,2.0296,15.4197,116.94,842,0,112
67.96,6.0456,16.5583,135.18,2438,1,69
101.09,11.1807,22.6607,135.4,8308,2,16
52.85,3.0089,13.2485,83.39,1701,0,118
52.77,4.4882,12.5056,104.43,132,0,103
57.38,1.9036,11.3795,97.12,950,0,112
51.8,3.3962,7.8301,129.74,1358,0,104
51.7,2.075,11.5933,100.57,1156,0,85
79.05,7.6027,15.2002,114.03,2670,1,44
62.74,3.2404,13.9327,102.35,892,0,78
47.31,3.7316,8.3003,97.9,1493,0,90
64.64,2.7643,12.5192,89.91,981,0,81
45.44,3.4395,11.3709,82.95,712,0,123
49.48,3.3467,9.582,101.59,1200,0,119
104.27,8.5112,22.9738,139.44,7959,2,22
73.31,7.6859,15.0914,103.14,4774,1,41
59.28,1.868,11.7737,111.17,698,0,151
53.78,1.9061,13.3504,90.72,1825,0,140
54.29,1.8717,11.4559,89.21,2001,0,110
60.53,2.5301,12.8535,119.59,381,0,106
